focalLength,weight,gonadalWeight,maturityStage,species,Sex
72.8,8.02,9.05,II,Big Eye ,F
81.2,9.48,18.27,II,Big Eye ,F
73.7,8.28,7.05,II,Big Eye ,M
74.5,7.54,5.59,II,Big Eye ,M
75.5,8.5,12.67,II,Big Eye ,F
76,8.41,9.99,II,Big Eye ,F
78,8.83,29.99,II,Big Eye ,F
75,7.91,25.06,II,Big Eye ,F
74.7,7.79,24.07,II,Big Eye ,F
73.5,7.64,4.21,II,Big Eye ,M
71.8,6.87,8.55,II,Big Eye ,F
72,7.44,29.99,II,Big Eye ,F
74.1,8.105,5.48,II,Big Eye ,M
80.1,9.17,9.65,II,Big Eye ,M
77.8,7.99,15.39,II,Big Eye ,F
80.5,9.05,20.62,II,Big Eye ,F
73.7,7.66,10,II,Big Eye ,F
75.3,8.35,3.94,II,Big Eye ,M
74.2,7.79,9.99,II,Big Eye ,M
73.9,8.27,4.37,II,Big Eye ,M
75.6,8.33,7.33,II,Big Eye ,M
100,19,317.66,IV,Big Eye ,F
93.3,12.23,48.56,II,Big Eye ,F
63.3,9.4,3.28,I,Big Eye ,M
78.2,7.935,7.2,I,Big Eye ,M
90,9.53,42.87,II,Big Eye ,F
75.5,6.655,4.85,II,Big Eye ,M
82.1,9.495,6.91,I,Big Eye ,M
82.5,9.01,34.89,II,Big Eye ,F
89.4,11.75,60.28,II,Big Eye ,F
63,3.82,48.56,I,Big Eye ,M
56,2.985,3.28,V,Big Eye ,M
63,3.675,7.2,I,Big Eye ,F
58,3.06,42.87,I,Big Eye ,M
57,2.44,4.85,I,Big Eye ,M
59,3.32,6.91,II,Big Eye ,F
60,3.625,34.89,I,Big Eye ,M
60,3.41,60.28,I,Big Eye ,M
72.8,6.21,2.02,I,Big Eye ,M
73,6.81,3.17,I,Big Eye ,M
65.1,4.375,1.92,I,Big Eye ,M
67.2,4.82,2.94,I,Big Eye ,M
61.2,4.265,2.57,I,Big Eye ,M
64.3,4.13,9.95,I,Big Eye ,M
62.1,3.58,2.96,I,Big Eye ,M
61.2,4.01,3.74,I,Big Eye ,M
71.5,5.27,3.53,I,Big Eye ,F
92.7,12.3,6.92,II,Big Eye ,M
77,7.01,14.23,I,Big Eye ,F
93.5,13.6,14.86,I,Big Eye ,M
80.5,6.5,9.37,I,Big Eye ,F
96,13.3,51.1,II,Big Eye ,F
97.3,15.3,12.62,II,Big Eye ,M
95.8,13.6,11.88,I,Big Eye ,M
92.1,12.3,55.19,II,Big Eye ,F
51,2.405,51.1,II,Big Eye ,M
55,2.835,12.62,I,Big Eye ,M
54,2.44,11.88,I,Big Eye ,M
53,2.465,55.19,II,Big Eye ,M
53,2.45,0,II,Big Eye ,M
55,2.745,0,I,Big Eye ,M
92,13.5,255,IV,Big Eye ,F
94.5,13.5,49,IV,Big Eye ,F
76,6.5,0,V,Big Eye ,M
104,19.5,359.24,IV,Big Eye ,M
95,15.5,357.7,IV,Big Eye ,M
94,13.85,236.97,IV,Big Eye ,M
78,11,190.76,IV,Big Eye ,F
103,17,152.2,IV,Big Eye ,M
96,14,361.85,IV,Big Eye ,F
96,15,9.26,IV,Big Eye ,F
104.5,17.5,363.33,IV,Big Eye ,F
87,11.5,168.86,IV,Big Eye ,M
95,13.5,307.27,III,Big Eye ,F
92,14,238.94,IV,Big Eye ,M
100,17,105,IV,Big Eye ,M
105.5,18,178.49,IV,Big Eye ,M
93,13.5,255.86,IV,Big Eye ,M
95,13.5,58.85,II,Big Eye ,F
95,14,79.51,III,Big Eye ,M
92,12.5,214.78,IV,Big Eye ,F
93,12,144.48,IV,Big Eye ,M
99,15.5,264.44,IV,Big Eye ,M
99,15.5,264.44,IV,Big Eye ,M
99,16.5,189.45,IV,Big Eye ,M
92,14,207.35,IV,Big Eye ,M
91,12.5,195.29,IV,Big Eye ,F
93.5,15.25,294.19,IV,Big Eye ,F
90,12.5,237.46,IV,Big Eye ,F
97.5,16.55,269.94,IV,Big Eye ,M
99,15.5,178.67,IV,Big Eye ,M
88,11,158.62,IV,Big Eye ,M
86,10,93.48,IV,Big Eye ,F
103,16.5,98.27,III,Big Eye ,M
103,17,218.75,IV,Big Eye ,M
92,12,163.03,IV,Big Eye ,M
55,2.765,,I,Big Eye ,F
56,3.015,,I,Big Eye ,F
52,2.235,,IV,Big Eye ,M
83,9.94,,IV,Big Eye ,M
83,10.63,,IV,Big Eye ,M
81,9.275,,IV,Big Eye ,M
57.5,2.6,0,I,Big Eye ,M
63,3.7,0,I,Big Eye ,M
61.5,3,0,I,Big Eye ,M
55.1,2.1,0,I,Big Eye ,M
59.2,2.8,0,I,Big Eye ,M
57.9,3.1,0,I,Big Eye ,M
58.2,3,0,I,Big Eye ,M
56.5,2.2,0,I,Big Eye ,M
