,focalLength,weight,gonadalWeight,maturityStage,species,Sex
0,72.8,8.02,9.05,1,0,0
1,81.2,9.48,18.27,1,0,0
2,73.7,8.28,7.05,1,0,1
3,74.5,7.54,5.59,1,0,1
4,75.5,8.5,12.67,1,0,0
5,76.0,8.41,9.99,1,0,0
6,78.0,8.83,29.99,1,0,0
7,75.0,7.91,25.06,1,0,0
8,74.7,7.79,24.07,1,0,0
9,73.5,7.64,4.21,1,0,1
10,71.8,6.87,8.55,1,0,0
11,72.0,7.44,29.99,1,0,0
12,74.1,8.105,5.48,1,0,1
13,80.1,9.17,9.65,1,0,1
14,77.8,7.99,15.39,1,0,0
15,80.5,9.05,20.62,1,0,0
16,73.7,7.66,10.0,1,0,0
17,75.3,8.35,3.94,1,0,1
18,74.2,7.79,9.99,1,0,1
19,73.9,8.27,4.37,1,0,1
20,75.6,8.33,7.33,1,0,1
21,100.0,19.0,317.66,3,0,0
22,93.3,12.23,48.56,1,0,0
23,63.3,9.4,3.28,0,0,1
24,78.2,7.935,7.2,0,0,1
25,90.0,9.53,42.87,1,0,0
26,75.5,6.655,4.85,1,0,1
27,82.1,9.495,6.91,0,0,1
28,82.5,9.01,34.89,1,0,0
29,89.4,11.75,60.28,1,0,0
30,63.0,3.82,48.56,0,0,1
31,56.0,2.985,3.28,4,0,1
32,63.0,3.675,7.2,0,0,0
33,58.0,3.06,42.87,0,0,1
34,57.0,2.44,4.85,0,0,1
35,59.0,3.32,6.91,1,0,0
36,60.0,3.625,34.89,0,0,1
37,60.0,3.41,60.28,0,0,1
38,72.8,6.21,2.02,0,0,1
39,73.0,6.81,3.17,0,0,1
40,65.1,4.375,1.92,0,0,1
41,67.2,4.82,2.94,0,0,1
42,61.2,4.265,2.57,0,0,1
43,64.3,4.13,9.95,0,0,1
44,62.1,3.58,2.96,0,0,1
45,61.2,4.01,3.74,0,0,1
46,71.5,5.27,3.53,0,0,0
47,92.7,12.3,6.92,1,0,1
48,77.0,7.01,14.23,0,0,0
49,93.5,13.6,14.86,0,0,1
50,80.5,6.5,9.37,0,0,0
51,96.0,13.3,51.1,1,0,0
52,97.3,15.3,12.62,1,0,1
53,95.8,13.6,11.88,0,0,1
54,92.1,12.3,55.19,1,0,0
55,51.0,2.405,51.1,1,0,1
56,55.0,2.835,12.62,0,0,1
57,54.0,2.44,11.88,0,0,1
58,53.0,2.465,55.19,1,0,1
59,53.0,2.45,0.0,1,0,1
60,55.0,2.745,0.0,0,0,1
61,92.0,13.5,255.0,3,0,0
62,94.5,13.5,49.0,3,0,0
63,76.0,6.5,0.0,4,0,1
64,104.0,19.5,359.24,3,0,1
65,95.0,15.5,357.7,3,0,1
66,94.0,13.85,236.97,3,0,1
67,78.0,11.0,190.76,3,0,0
68,103.0,17.0,152.2,3,0,1
69,96.0,14.0,361.85,3,0,0
70,96.0,15.0,9.26,3,0,0
71,104.5,17.5,363.33,3,0,0
72,87.0,11.5,168.86,3,0,1
73,95.0,13.5,307.27,2,0,0
74,92.0,14.0,238.94,3,0,1
75,100.0,17.0,105.0,3,0,1
76,105.5,18.0,178.49,3,0,1
77,93.0,13.5,255.86,3,0,1
78,95.0,13.5,58.85,1,0,0
79,95.0,14.0,79.51,2,0,1
80,92.0,12.5,214.78,3,0,0
81,93.0,12.0,144.48,3,0,1
82,99.0,15.5,264.44,3,0,1
83,99.0,15.5,264.44,3,0,1
84,99.0,16.5,189.45,3,0,1
85,92.0,14.0,207.35,3,0,1
86,91.0,12.5,195.29,3,0,0
87,93.5,15.25,294.19,3,0,0
88,90.0,12.5,237.46,3,0,0
89,97.5,16.55,269.94,3,0,1
90,99.0,15.5,178.67,3,0,1
91,88.0,11.0,158.62,3,0,1
92,86.0,10.0,93.48,3,0,0
93,103.0,16.5,98.27,2,0,1
94,103.0,17.0,218.75,3,0,1
95,92.0,12.0,163.03,3,0,1
96,55.0,2.765,69.63836201191265,0,0,0
97,56.0,3.015,69.63836201191265,0,0,0
98,52.0,2.235,69.63836201191265,3,0,1
99,83.0,9.94,69.63836201191265,3,0,1
100,83.0,10.63,69.63836201191265,3,0,1
101,81.0,9.275,69.63836201191265,3,0,1
102,57.5,2.6,0.0,0,0,1
103,63.0,3.7,0.0,0,0,1
104,61.5,3.0,0.0,0,0,1
105,55.1,2.1,0.0,0,0,1
106,59.2,2.8,0.0,0,0,1
107,57.9,3.1,0.0,0,0,1
108,58.2,3.0,0.0,0,0,1
109,56.5,2.2,0.0,0,0,1
110,55.3,2.1,0.0,0,0,1
111,53.7,1.7,0.0,0,0,1
112,57.5,2.4,0.0,0,0,1
113,56.7,2.0,0.0,0,0,1
114,57.7,2.7,0.0,0,0,1
115,52.7,1.8,0.0,0,0,1
116,55.0,2.2,0.0,0,0,1
117,55.7,2.4,5.35,0,0,0
118,55.9,1.5,0.44,0,0,0
119,57.0,2.0,0.0,0,0,1
120,55.0,1.6,0.0,0,0,1
121,58.0,2.6,0.0,0,0,1
122,53.5,1.7,0.0,0,0,1
123,57.2,2.4,0.0,0,0,1
124,59.5,1.4,0.0,0,0,0
125,56.0,1.7,0.0,0,0,1
126,53.5,1.5,0.0,0,0,1
127,54.0,1.7,0.0,0,0,1
128,57.1,2.8,0.0,0,0,1
129,54.0,1.5,0.0,0,0,0
130,56.6,3.0,0.0,0,0,1
131,87.0,11.5,216.75,2,0,0
132,88.0,11.5,206.9,3,0,1
133,86.9,11.0,229.0,1,0,1
134,89.0,11.0,119.33,2,0,1
135,89.5,11.0,307.24,3,0,0
136,95.5,14.0,236.39,2,0,1
137,88.0,12.0,369.22,3,0,1
138,86.0,11.0,258.86,2,0,1
139,96.0,14.0,23.08,1,0,0
140,90.0,12.0,397.37,3,0,0
141,90.0,12.0,169.24,2,0,1
142,104.0,16.0,467.06,4,0,0
143,96.5,16.0,279.37,3,0,1
144,86.0,11.0,335.03,3,0,0
145,95.0,15.0,377.49,2,0,1
146,95.5,16.0,358.51,3,0,1
147,88.0,12.0,389.11,3,0,0
148,71.0,6.31,69.63836201191265,0,0,1
149,61.0,3.715,69.63836201191265,0,0,1
150,52.0,2.175,69.63836201191265,0,0,1
151,60.0,3.2,69.63836201191265,3,0,0
152,50.0,2.315,69.63836201191265,0,0,1
153,58.0,3.14,80.8,3,0,0
154,54.0,2.785,141.6,3,0,0
155,71.0,3.3,69.63836201191265,0,0,1
156,57.0,3.163,69.63836201191265,0,0,1
157,53.0,2.35,69.63836201191265,3,0,1
158,58.0,2.915,72.4,3,0,0
159,51.0,2.245,69.63836201191265,0,0,1
160,48.0,1.99,36.4,2,0,0
161,47.0,1.81,19.7,2,0,0
162,52.0,2.51,69.63836201191265,0,0,1
163,53.0,2.456,69.63836201191265,0,0,1
164,54.0,2.595,69.63836201191265,0,0,1
165,52.0,2.265,69.63836201191265,0,0,1
166,70.2,7.0,0.0,1,0,1
167,58.7,3.0,0.0,3,0,1
168,51.2,2.6,0.0,0,0,1
169,79.0,7.3,0.0,2,0,1
170,98.4,10.7,0.0,0,0,1
171,57.0,2.7,37.52,4,0,0
172,83.2,8.6,48.3,1,0,0
173,55.0,2.8,0.0,0,0,1
174,80.7,8.6,44.55,1,0,0
175,88.0,10.0,0.0,3,0,1
176,56.0,1.8,0.0,0,0,1
177,57.0,2.6,0.0,0,0,1
178,94.0,12.5,0.0,0,0,1
179,63.5,3.18,11.9,0,0,0
180,94.2,15.42,320.0,3,0,0
